task_id,dataset,model,split,auc_ovo,accuracy,g_mean,cross_entropy,fit_time_s,predict_time_s,total_time_s
10101,blood-transfusion-service-center,lightgbm,test,0.7690058479532162,0.7911111111111111,0.5975366369425635,0.4659999009358861,1.7639960998203605,0.049308700021356344,1.8133047998417169
10101,blood-transfusion-service-center,lightgbm,train,0.8112013905732073,0.8260038240917782,0.6266864223340963,0.4264696752261864,0.27150369994342327,0.03380870004184544,0.3053123999852687
10101,blood-transfusion-service-center,xgboost,test,0.7279077322936972,0.7911111111111111,0.6326609747975916,0.5113803524066718,4.01264450000599,0.03687709989026189,4.049521599896252
10101,blood-transfusion-service-center,xgboost,train,0.909562211981567,0.8738049713193117,0.7356023665134441,0.3276145299364539,3.142245399998501,0.04292100016027689,3.185166400158778
10101,blood-transfusion-service-center,catboost,test,0.704624214858133,0.7555555555555555,0.5574043312330523,0.5434123470044224,9.024777499958873,0.01803399994969368,9.042811499908566
10101,blood-transfusion-service-center,catboost,train,0.9127556795213841,0.8910133843212237,0.7698776641480533,0.3095427696290927,6.50378720019944,0.0190741999540478,6.522861400153488
10101,blood-transfusion-service-center,tabm,test,0.76440329218107,0.7955555555555556,0.5868385358737825,0.46383743499300195,12.413517100038007,0.09369760006666183,12.507214700104669
10101,blood-transfusion-service-center,tabm,train,0.7847542242703534,0.8049713193116634,0.5611596507321521,0.44625849371167886,11.814747400116175,0.32769439998082817,12.142441800097004
37,diabetes,lightgbm,test,0.8392592592592593,0.7575757575757576,0.6887694042138268,0.4709542002900145,0.3625076001044363,0.03370629996061325,0.39621390006504953
37,diabetes,lightgbm,train,0.8926050420168067,0.8212290502793296,0.7768617205950474,0.4045592614097784,0.27829869999550283,0.042430599918588996,0.3207292999140918
37,diabetes,xgboost,test,0.811604938271605,0.7359307359307359,0.6754970734920295,1.8032881707891866,5.895376200089231,0.11166350007988513,6.007039700169116
37,diabetes,xgboost,train,0.9863941940412528,0.9683426443202979,0.9617910463332058,0.25759473335278066,5.681220599915832,0.10526470001786947,5.786485299933702
37,diabetes,catboost,test,0.8234567901234568,0.7316017316017316,0.6516834799384524,0.9183076258766438,6.119765599956736,0.019112300127744675,6.138877900084481
