task_id,dataset,trial,auc_cv,num_emb_type,tabm_k,n_epochs
10101,blood-transfusion-service-center,0,0.764094059004701,pbld,16,100
10101,blood-transfusion-service-center,1,0.7513316582914573,pbld,8,300
10101,blood-transfusion-service-center,2,0.732462311557789,none,24,200
10101,blood-transfusion-service-center,3,0.732462311557789,plr,24,150
10101,blood-transfusion-service-center,4,0.7633978359539634,pbld,40,100
10101,blood-transfusion-service-center,5,0.7623123682930784,lt,64,300
10101,blood-transfusion-service-center,6,0.7513316582914573,plr,8,200
10101,blood-transfusion-service-center,7,0.732462311557789,pbld,24,200
10101,blood-transfusion-service-center,8,0.7623123682930784,plr,64,300
10101,blood-transfusion-service-center,9,0.7513316582914573,pbld,8,150
10101,blood-transfusion-service-center,10,0.7633978359539634,lt,40,100
10101,blood-transfusion-service-center,11,0.7482884178959313,pbld,48,100
10101,blood-transfusion-service-center,12,0.7482884178959313,pbld,48,100
10101,blood-transfusion-service-center,13,0.7633978359539634,none,40,150
10101,blood-transfusion-service-center,14,0.765946668828011,pbld,32,100
37,diabetes,0,0.7677014086348335,pbld,16,100
37,diabetes,1,0.7612550250024512,pbld,8,300
37,diabetes,2,0.7654851782854528,none,24,200
37,diabetes,3,0.7654851782854528,plr,24,150
37,diabetes,4,0.7636242115240056,pbld,40,100
37,diabetes,5,0.7564127202013269,lt,64,300
37,diabetes,6,0.7612550250024512,plr,8,200
37,diabetes,7,0.7654851782854528,pbld,24,200
37,diabetes,8,0.7564127202013269,plr,64,300
37,diabetes,9,0.7612550250024512,pbld,8,150
37,diabetes,10,0.7636242115240056,lt,40,100
37,diabetes,11,0.7654851782854528,none,24,250
37,diabetes,12,0.7622525084158578,none,32,150
37,diabetes,13,0.7677014086348335,none,16,250
37,diabetes,14,0.7677014086348335,none,16,250
11,balance-scale,0,0.9100052859100702,pbld,16,100
11,balance-scale,1,0.8716986223957282,pbld,8,300
11,balance-scale,2,0.8770799095052196,none,24,200
11,balance-scale,3,0.8770799095052196,plr,24,150
11,balance-scale,4,0.8874880250110042,pbld,40,100
11,balance-scale,5,0.8842628750353194,lt,64,300
11,balance-scale,6,0.8716986223957282,plr,8,200
11,balance-scale,7,0.8770799095052196,pbld,24,200
11,balance-scale,8,0.8842628750353194,plr,64,300
11,balance-scale,9,0.8716986223957282,pbld,8,150
11,balance-scale,10,0.8874880250110042,lt,40,100
11,balance-scale,11,0.8556597104090141,pbld,48,100
11,balance-scale,12,0.8556597104090141,pbld,48,100
11,balance-scale,13,0.8874880250110042,none,40,150
11,balance-scale,14,0.8876755354626902,pbld,32,100
