task_id,dataset,trial,auc_cv,num_emb_type,tabm_k,n_epochs
10101,blood-transfusion-service-center,0,0.7590920886075949,pbld,16,100
10101,blood-transfusion-service-center,1,0.7473074894514766,pbld,8,300
10101,blood-transfusion-service-center,2,0.7617045886075948,none,24,200
10101,blood-transfusion-service-center,3,0.7617045886075948,plr,24,150
10101,blood-transfusion-service-center,4,0.7541470464135023,pbld,40,100
10101,blood-transfusion-service-center,5,0.7506207278481013,lt,64,300
10101,blood-transfusion-service-center,6,0.7473074894514766,plr,8,200
10101,blood-transfusion-service-center,7,0.7617045886075948,pbld,24,200
10101,blood-transfusion-service-center,8,0.7506207278481013,plr,64,300
10101,blood-transfusion-service-center,9,0.7473074894514766,pbld,8,150
10101,blood-transfusion-service-center,10,0.7541470464135023,none,40,250
10101,blood-transfusion-service-center,11,0.7598973628691983,none,32,150
10101,blood-transfusion-service-center,12,0.7617045886075948,none,24,150
10101,blood-transfusion-service-center,13,0.7507886603375529,plr,48,250
10101,blood-transfusion-service-center,14,0.7617045886075948,lt,24,200
10101,blood-transfusion-service-center,15,0.7598973628691983,none,32,150
10101,blood-transfusion-service-center,16,0.7507886603375529,plr,48,250
10101,blood-transfusion-service-center,17,0.7590920886075949,none,16,200
10101,blood-transfusion-service-center,18,0.7590920886075949,plr,16,100
10101,blood-transfusion-service-center,19,0.7507886603375529,lt,48,150
10101,blood-transfusion-service-center,20,0.7598973628691983,none,32,250
10101,blood-transfusion-service-center,21,0.7617045886075948,pbld,24,200
10101,blood-transfusion-service-center,22,0.7617045886075948,plr,24,200
10101,blood-transfusion-service-center,23,0.7590920886075949,pbld,16,200
10101,blood-transfusion-service-center,24,0.7617045886075948,plr,24,150
10101,blood-transfusion-service-center,25,0.7598973628691983,pbld,32,200
10101,blood-transfusion-service-center,26,0.7541470464135023,none,40,250
10101,blood-transfusion-service-center,27,0.7590920886075949,lt,16,150
10101,blood-transfusion-service-center,28,0.7617045886075948,pbld,24,200
10101,blood-transfusion-service-center,29,0.7598973628691983,plr,32,100
10101,blood-transfusion-service-center,30,0.7590920886075949,none,16,100
10101,blood-transfusion-service-center,31,0.7617045886075948,none,24,150
10101,blood-transfusion-service-center,32,0.7617045886075948,none,24,150
10101,blood-transfusion-service-center,33,0.7473074894514766,none,8,150
10101,blood-transfusion-service-center,34,0.7590920886075949,pbld,16,100
10101,blood-transfusion-service-center,35,0.7541470464135023,none,40,200
10101,blood-transfusion-service-center,36,0.7598973628691983,pbld,32,150
10101,blood-transfusion-service-center,37,0.7617045886075948,lt,24,200
10101,blood-transfusion-service-center,38,0.7473074894514766,plr,8,250
10101,blood-transfusion-service-center,39,0.7513834915611813,none,56,100
10101,blood-transfusion-service-center,40,0.7598973628691983,pbld,32,300
10101,blood-transfusion-service-center,41,0.7617045886075948,lt,24,200
10101,blood-transfusion-service-center,42,0.7617045886075948,lt,24,200
10101,blood-transfusion-service-center,43,0.7617045886075948,lt,24,150
10101,blood-transfusion-service-center,44,0.7590920886075949,lt,16,250
10101,blood-transfusion-service-center,45,0.7598973628691983,plr,32,200
10101,blood-transfusion-service-center,46,0.7541470464135023,none,40,150
10101,blood-transfusion-service-center,47,0.7590920886075949,lt,16,200
10101,blood-transfusion-service-center,48,0.7473074894514766,none,8,250
10101,blood-transfusion-service-center,49,0.7617045886075948,plr,24,150
37,diabetes,0,0.8182259703312335,pbld,16,100
37,diabetes,1,0.8178540946961999,pbld,8,300
37,diabetes,2,0.8183905710221501,none,24,200
37,diabetes,3,0.8183905710221501,plr,24,150
37,diabetes,4,0.8144686039422883,pbld,40,100
37,diabetes,5,0.8170859581385898,lt,64,300
37,diabetes,6,0.8178540946961999,plr,8,200
37,diabetes,7,0.8183905710221501,pbld,24,200
37,diabetes,8,0.8170859581385898,plr,64,300
37,diabetes,9,0.8178540946961999,pbld,8,150
37,diabetes,10,0.8144686039422883,none,40,250
37,diabetes,11,0.818666937614306,none,32,150
37,diabetes,12,0.818666937614306,none,32,150
37,diabetes,13,0.8165454175980491,none,48,150
37,diabetes,14,0.818666937614306,none,32,150
37,diabetes,15,0.8165454175980491,none,48,100
37,diabetes,16,0.818666937614306,lt,32,200
37,diabetes,17,0.8165454175980491,none,48,250
37,diabetes,18,0.8183011583011582,none,56,150
